,Release Date,Season,Episode,Episode Title,Name,Sentence,House,Sentences_Clean,Num_Words,Tokenized_Sentence,Tokenized_No_Stop,Stemmed_Sentence,Stemmed_Sentence_Non_Token,Sentiment,Sentiment_Compound_Score,Lannister_Word_Score,Stark_Word_Score,Targaryen_Word_Score,Mormont_Word_Score
4016,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,luwin,"This link is made of Valyrian steel. Only one maester in a hundred wears it on his chain. It signifies that I have studied the higher mysteries. And all who study these mysteries try their hand at spells. I was no different. I was young. And what boy doesn't secretly wish for hidden powers to lift him out of his dull life into a special one? But in the end, for all my efforts, I got no more out of it than a thousand boys before me. Come on.",House Stark, this link is made of valyrian steel only one maester in a hundred wears it on his chain it signifies that i have studied the higher mysteries and all who study these mysteries try their hand at spells i was no different i was young and what boy does not secretly wish for hidden powers to lift him out of his dull life into a special one but in the end for all my efforts i got no more out of it than a thousand boys before me come on,90,"['this', 'link', 'is', 'made', 'of', 'valyrian', 'steel', 'only', 'one', 'maester', 'in', 'a', 'hundred', 'wears', 'it', 'on', 'his', 'chain', 'it', 'signifies', 'that', 'i', 'have', 'studied', 'the', 'higher', 'mysteries', 'and', 'all', 'who', 'study', 'these', 'mysteries', 'try', 'their', 'hand', 'at', 'spells', 'i', 'was', 'no', 'different', 'i', 'was', 'young', 'and', 'what', 'boy', 'does', 'not', 'secretly', 'wish', 'for', 'hidden', 'powers', 'to', 'lift', 'him', 'out', 'of', 'his', 'dull', 'life', 'into', 'a', 'special', 'one', 'but', 'in', 'the', 'end', 'for', 'all', 'my', 'efforts', 'i', 'got', 'no', 'more', 'out', 'of', 'it', 'than', 'a', 'thousand', 'boys', 'before', 'me', 'come', 'on']","['link', 'made', 'valyrian', 'steel', 'one', 'maester', 'hundred', 'wears', 'chain', 'signifies', 'studied', 'higher', 'mysteries', 'study', 'mysteries', 'try', 'hand', 'spells', 'different', 'young', 'boy', 'secretly', 'wish', 'hidden', 'powers', 'lift', 'dull', 'life', 'special', 'one', 'end', 'efforts', 'got', 'thousand', 'boys', 'come']","['link', 'made', 'valyrian', 'steel', 'one', 'maester', 'hundred', 'wear', 'chain', 'signifies', 'studied', 'higher', 'mystery', 'study', 'mystery', 'try', 'hand', 'spell', 'different', 'young', 'boy', 'secretly', 'wish', 'hidden', 'power', 'lift', 'dull', 'life', 'special', 'one', 'end', 'effort', 'got', 'thousand', 'boy', 'come']", link made valyrian steel one maester hundred wear chain signifies studied higher mystery study mystery try hand spell different young boy secretly wish hidden power lift dull life special one end effort got thousand boy come,"{'neg': 0.062, 'neu': 0.739, 'pos': 0.199, 'compound': 0.7096}",0.7096,0.00045036350768834846,0.000444946715583508,0.00040576181781294376,0.00038751497216937933
4266,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,tyrion lannister,"But you let him die, made sure he succumbed.",House Lannister, but you let him die made sure he succumbed,9,"['but', 'you', 'let', 'him', 'die', 'made', 'sure', 'he', 'succumbed']","['let', 'die', 'made', 'sure', 'succumbed']","['let', 'die', 'made', 'sure', 'succumbed']", let die made sure succumbed,"{'neg': 0.424, 'neu': 0.326, 'pos': 0.25, 'compound': -0.3818}",-0.3818,0.0005558772437753329,0.0005306603773584907,0.0,0.0
6618,5/27/2012,Season 2,Episode 9,Blackwater,cersei lannister,Pretty.,House Lannister, pretty,1,['pretty'],['pretty'],['pretty'], pretty,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",0.4939,0.0,0.0,0.0,0.0
6580,5/27/2012,Season 2,Episode 9,Blackwater,cersei lannister,Even Joffrey?,House Lannister, even joffrey,2,"['even', 'joffrey']","['even', 'joffrey']","['even', 'joffrey']", even joffrey,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0004632310364794441,0.0004913522012578616,0.0,0.0
5064,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,daenerys targaryen,"What do you want, Xaro Xhoan Daxos? At the gates of the city, you bled for me. Why?",House Targaryen, what do you want xaro xhoan daxos at the gates of the city you bled for me why,18,"['what', 'do', 'you', 'want', 'xaro', 'xhoan', 'daxos', 'at', 'the', 'gates', 'of', 'the', 'city', 'you', 'bled', 'for', 'me', 'why']","['want', 'xaro', 'xhoan', 'daxos', 'gates', 'city', 'bled']","['want', 'xaro', 'xhoan', 'daxos', 'gate', 'city', 'bled']", want xaro xhoan daxos gate city bled,"{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.0772}",0.0772,0.00029779138059392833,0.0006457771787960467,0.0007825406486392488,0.0007247033245765015
5672,5/13/2012,Season 2,Episode 7,A Man Without Honor,daenerys targaryen,But it did happen under your roof.,House Targaryen, but it did happen under your roof,7,"['but', 'it', 'did', 'happen', 'under', 'your', 'roof']","['happen', 'roof']","['happen', 'roof']", happen roof,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
4724,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,cersei lannister,Really? Who'd have thought?,House Lannister, really whod have thought,4,"['really', 'whod', 'have', 'thought']","['really', 'whod', 'thought']","['really', 'whod', 'thought']", really whod thought,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
3648,4/8/2012,Season 2,Episode 2,The Night Lands,cersei lannister,One trip to The Wall and you come back believing in grumpkins and snarks. .,House Lannister, one trip to the wall and you come back believing in grumpkins and snarks ,14,"['one', 'trip', 'to', 'the', 'wall', 'and', 'you', 'come', 'back', 'believing', 'in', 'grumpkins', 'and', 'snarks']","['one', 'trip', 'wall', 'come', 'back', 'believing', 'grumpkins', 'snarks']","['one', 'trip', 'wall', 'come', 'back', 'believing', 'grumpkins', 'snarks']", one trip wall come back believing grumpkins snarks,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0006224667052692531,0.0012652319182389939,0.0011412051125989045,0.0007926442612555486
6548,5/27/2012,Season 2,Episode 9,Blackwater,tyrion lannister,Hold fast.,House Lannister, hold fast,2,"['hold', 'fast']","['hold', 'fast']","['hold', 'fast']", hold fast,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
6639,5/27/2012,Season 2,Episode 9,Blackwater,cersei lannister,Bring him back to his chambers now.,House Lannister, bring him back to his chambers now,7,"['bring', 'him', 'back', 'to', 'his', 'chambers', 'now']","['bring', 'back', 'chambers']","['bring', 'back', 'chamber']", bring back chamber,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0009827044025157233,0.0011158449989855954,0.0008454872120059184
4948,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,daenerys targaryen,Please excuse me for a moment.,House Targaryen, please excuse me for a moment,6,"['please', 'excuse', 'me', 'for', 'a', 'moment']","['please', 'excuse', 'moment']","['please', 'excuse', 'moment']", please excuse moment,"{'neg': 0.0, 'neu': 0.217, 'pos': 0.783, 'compound': 0.3818}",0.3818,0.0,0.0005241090146750524,0.0005072022722661798,0.0
5450,5/6/2012,Season 2,Episode 6,The Old Gods and the New,catelyn stark,Lady Talisa...?,House Stark, lady talisa,2,"['lady', 'talisa']","['lady', 'talisa']","['lady', 'talisa']", lady talisa,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0013317892298784018,0.0007370283018867925,0.0,0.0
5747,5/13/2012,Season 2,Episode 7,A Man Without Honor,daenerys targaryen,"And who is to be trusted? Who are my people? The Targaryens? I only knew one, my brother, and he would have let a thousand men rape me if it had got him the crown. The Dothraki? Most of them turned on me the day that Khal Drogo fell from his horse.",House Targaryen, and who is to be trusted who are my people the targaryens i only knew one my brother and he would have let a thousand men rape me if it had got him the crown the dothraki most of them turned on me the day that khal drogo fell from his horse,52,"['and', 'who', 'is', 'to', 'be', 'trusted', 'who', 'are', 'my', 'people', 'the', 'targaryens', 'i', 'only', 'knew', 'one', 'my', 'brother', 'and', 'he', 'would', 'have', 'let', 'a', 'thousand', 'men', 'rape', 'me', 'if', 'it', 'had', 'got', 'him', 'the', 'crown', 'the', 'dothraki', 'most', 'of', 'them', 'turned', 'on', 'me', 'the', 'day', 'that', 'khal', 'drogo', 'fell', 'from', 'his', 'horse']","['trusted', 'people', 'targaryens', 'knew', 'one', 'brother', 'would', 'let', 'thousand', 'men', 'rape', 'got', 'crown', 'dothraki', 'turned', 'day', 'khal', 'drogo', 'fell', 'horse']","['trusted', 'people', 'targaryens', 'knew', 'one', 'brother', 'would', 'let', 'thousand', 'men', 'rape', 'got', 'crown', 'dothraki', 'turned', 'day', 'khal', 'drogo', 'fell', 'horse']", trusted people targaryens knew one brother would let thousand men rape got crown dothraki turned day khal drogo fell horse,"{'neg': 0.182, 'neu': 0.698, 'pos': 0.12, 'compound': -0.3818}",-0.3818,0.0007990735379270411,0.0008009040880503145,0.0015672550213024952,0.0009194673430564362
3776,4/8/2012,Season 2,Episode 2,The Night Lands,tyrion lannister,To the new Commander.,House Lannister, to the new commander,4,"['to', 'the', 'new', 'commander']","['new', 'commander']","['new', 'commander']", new commander,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0004632310364794441,0.0,0.0,0.0009511731135066582
3608,4/8/2012,Season 2,Episode 2,The Night Lands,tyrion lannister,It was quite a battle.,House Lannister, it was quite a battle,5,"['it', 'was', 'quite', 'a', 'battle']","['quite', 'battle']","['quite', 'battle']", quite battle,"{'neg': 0.743, 'neu': 0.257, 'pos': 0.0, 'compound': -0.4391}",-0.4391,0.0,0.0,0.0,0.0
4622,4/22/2012,Season 2,Episode 4,Garden of Bones,tyrion lannister,"Did she take you against your will? Can you not defend yourself, knight?",House Lannister, did she take you against your will can you not defend yourself knight,13,"['did', 'she', 'take', 'you', 'against', 'your', 'will', 'can', 'you', 'not', 'defend', 'yourself', 'knight']","['take', 'defend', 'knight']","['take', 'defend', 'knight']", take defend knight,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0003474232773595831,0.00045859538784067083,0.0013187259078920675,0.0006341154090044388
4733,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,tyrion lannister,"It so happens that I am. Myrcella is a sweet, innocent girl and I don't blame her at all for you.",House Lannister, it so happens that i am myrcella is a sweet innocent girl and i do not blame her at all for you,22,"['it', 'so', 'happens', 'that', 'i', 'am', 'myrcella', 'is', 'a', 'sweet', 'innocent', 'girl', 'and', 'i', 'do', 'not', 'blame', 'her', 'at', 'all', 'for', 'you']","['happens', 'myrcella', 'sweet', 'innocent', 'girl', 'blame']","['happens', 'myrcella', 'sweet', 'innocent', 'girl', 'blame']", happens myrcella sweet innocent girl blame,"{'neg': 0.222, 'neu': 0.278, 'pos': 0.5, 'compound': 0.4588}",0.4588,0.00017371163867979154,0.00021291928721174004,0.0,0.0
3698,4/8/2012,Season 2,Episode 2,The Night Lands,jorah mormont,"Khal Pono perhaps, Khal Jhaqo They don't like the idea of a woman leading a Khalasaar.",House Mormont, khal pono perhaps khal jhaqo they do not like the idea of a woman leading a khalasaar,17,"['khal', 'pono', 'perhaps', 'khal', 'jhaqo', 'they', 'do', 'not', 'like', 'the', 'idea', 'of', 'a', 'woman', 'leading', 'a', 'khalasaar']","['khal', 'pono', 'perhaps', 'khal', 'jhaqo', 'like', 'idea', 'woman', 'leading', 'khalasaar']","['khal', 'pono', 'perhaps', 'khal', 'jhaqo', 'like', 'idea', 'woman', 'leading', 'khalasaar']", khal pono perhaps khal jhaqo like idea woman leading khalasaar,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.3612}",0.3612,0.000335842501447597,0.0002751572327044025,0.0013998782714546563,0.0007609384908053267
3288,4/1/2012,Season 2,Episode 1,The North Remembers,jorah mormont,I remember.,House Mormont, i remember,2,"['i', 'remember']",['remember'],['remember'], remember,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
6369,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,daenerys targaryen,And what of my magic? You saw me step into the fire. You watched the witch burn. What did the flames do to me? Do you remember?,House Targaryen, and what of my magic you saw me step into the fire you watched the witch burn what did the flames do to me do you remember,27,"['and', 'what', 'of', 'my', 'magic', 'you', 'saw', 'me', 'step', 'into', 'the', 'fire', 'you', 'watched', 'the', 'witch', 'burn', 'what', 'did', 'the', 'flames', 'do', 'to', 'me', 'do', 'you', 'remember']","['magic', 'saw', 'step', 'fire', 'watched', 'witch', 'burn', 'flames', 'remember']","['magic', 'saw', 'step', 'fire', 'watched', 'witch', 'burn', 'flame', 'remember']", magic saw step fire watched witch burn flame remember,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.5994}",-0.5994,0.00014154281670205238,0.0,0.0,0.0
6448,5/27/2012,Season 2,Episode 9,Blackwater,tyrion lannister,"Is that it?"" Nice touch. As if you don't know the name of every boy in town.",House Lannister, is that it nice touch as if you do not know the name of every boy in town,18,"['is', 'that', 'it', 'nice', 'touch', 'as', 'if', 'you', 'do', 'not', 'know', 'the', 'name', 'of', 'every', 'boy', 'in', 'town']","['nice', 'touch', 'know', 'name', 'every', 'boy', 'town']","['nice', 'touch', 'know', 'name', 'every', 'boy', 'town']", nice touch know name every boy town,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.4215}",0.4215,0.0007941103482504757,0.0012073225516621743,0.0006086427267194157,0.0007247033245765015
3506,4/1/2012,Season 2,Episode 1,The North Remembers,cersei lannister,We can't find Arya Stark.,House Lannister, we cannot find arya stark,5,"['we', 'cannot', 'find', 'arya', 'stark']","['cannot', 'find', 'arya', 'stark']","['cannot', 'find', 'arya', 'stark']", cannot find arya stark,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0012738853503184713,0.0016214622641509435,0.0005325623858794887,0.001585288522511097
6347,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,tyrion lannister,The water never flowed better. And all the shit found its way to the sea. I never expected to have any real power. So when my father named me acting Hand,House Lannister, the water never flowed better and all the shit found its way to the sea i never expected to have any real power so when my father named me acting hand,31,"['the', 'water', 'never', 'flowed', 'better', 'and', 'all', 'the', 'shit', 'found', 'its', 'way', 'to', 'the', 'sea', 'i', 'never', 'expected', 'to', 'have', 'any', 'real', 'power', 'so', 'when', 'my', 'father', 'named', 'me', 'acting', 'hand']","['water', 'never', 'flowed', 'better', 'shit', 'found', 'way', 'sea', 'never', 'expected', 'real', 'power', 'father', 'named', 'acting', 'hand']","['water', 'never', 'flowed', 'better', 'shit', 'found', 'way', 'sea', 'never', 'expected', 'real', 'power', 'father', 'named', 'acting', 'hand']", water never flowed better shit found way sea never expected real power father named acting hand,"{'neg': 0.112, 'neu': 0.604, 'pos': 0.284, 'compound': 0.5744}",0.5744,0.0005790387955993051,0.0007923054245283019,0.0005706025562994522,0.00035668991756499684
3447,4/1/2012,Season 2,Episode 1,The North Remembers,cersei lannister,And yet my friends in the North report no sign of her.,House Lannister, and yet my friends in the north report no sign of her,12,"['and', 'yet', 'my', 'friends', 'in', 'the', 'north', 'report', 'no', 'sign', 'of', 'her']","['yet', 'friends', 'north', 'report', 'sign']","['yet', 'friend', 'north', 'report', 'sign']", yet friend north report sign,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.4939}",0.4939,0.00016213086276780544,0.00021619496855345913,0.0,0.0
6533,5/27/2012,Season 2,Episode 9,Blackwater,cersei lannister,So? I didn't offer you water.,House Lannister, so i did not offer you water,7,"['so', 'i', 'did', 'not', 'offer', 'you', 'water']","['offer', 'water']","['offer', 'water']", offer water,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
3423,4/1/2012,Season 2,Episode 1,The North Remembers,tyrion lannister,"A bit corpsey, yes.",House Lannister, a bit corpsey yes,4,"['a', 'bit', 'corpsey', 'yes']","['bit', 'corpsey', 'yes']","['bit', 'corpsey', 'yes']", bit corpsey yes,"{'neg': 0.0, 'neu': 0.426, 'pos': 0.574, 'compound': 0.4019}",0.4019,0.0006562439683458791,0.0004913522012578616,0.0008115236356258876,0.0
3445,4/1/2012,Season 2,Episode 1,The North Remembers,cersei lannister,Ned Stark's youngest daughter Arya... we can't seem to locate her.,House Lannister, ned starks youngest daughter arya we cannot seem to locate her,11,"['ned', 'starks', 'youngest', 'daughter', 'arya', 'we', 'cannot', 'seem', 'to', 'locate', 'her']","['ned', 'starks', 'youngest', 'daughter', 'arya', 'cannot', 'seem', 'locate']","['ned', 'starks', 'youngest', 'daughter', 'arya', 'cannot', 'seem', 'locate']", ned starks youngest daughter arya cannot seem locate,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0003474232773595831,0.0005159198113207547,0.00026628119293974436,0.0004755865567533291
6406,5/27/2012,Season 2,Episode 9,Blackwater,tyrion lannister,You can't fuck your way out of everything.,House Lannister, you cannot fuck your way out of everything,8,"['you', 'cannot', 'fuck', 'your', 'way', 'out', 'of', 'everything']","['cannot', 'fuck', 'way', 'everything']","['cannot', 'fuck', 'way', 'everything']", cannot fuck way everything,"{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.431}",0.431,0.0002026635784597568,0.000884433962264151,0.0009129640900791235,0.0004755865567533291
5750,5/13/2012,Season 2,Episode 7,A Man Without Honor,jorah mormont,They will soon enough.,House Mormont, they will soon enough,4,"['they', 'will', 'soon', 'enough']","['soon', 'enough']","['soon', 'enough']", soon enough,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0004913522012578616,0.0006086427267194157,0.0015852885225110971
6722,5/27/2012,Season 2,Episode 9,Blackwater,tommen lannister,They're still fighting.,House Lannister, they are still fighting,4,"['they', 'are', 'still', 'fighting']","['still', 'fighting']","['still', 'fighting']", still fighting,"{'neg': 0.714, 'neu': 0.286, 'pos': 0.0, 'compound': -0.3612}",-0.3612,0.0006369426751592356,0.0005404874213836478,0.0,0.0009511731135066582
6796,6/3/2012,Season 2,Episode 10,Valar Morghulis,jaime lannister,"You're a virgin, I take it?",House Lannister, you are a virgin i take it,7,"['you', 'are', 'a', 'virgin', 'i', 'take', 'it']","['virgin', 'take']","['virgin', 'take']", virgin take,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0005211349160393746,0.0006878930817610062,0.001978088861838101,0.0009511731135066582
6415,5/27/2012,Season 2,Episode 9,Blackwater,cersei lannister,You may not. You must have a lot of work to do. I'm sure many brave men will need your wisdom soon.,House Lannister, you may not you must have a lot of work to do i am sure many brave men will need your wisdom soon,23,"['you', 'may', 'not', 'you', 'must', 'have', 'a', 'lot', 'of', 'work', 'to', 'do', 'i', 'am', 'sure', 'many', 'brave', 'men', 'will', 'need', 'your', 'wisdom', 'soon']","['may', 'must', 'lot', 'work', 'sure', 'many', 'brave', 'men', 'need', 'wisdom', 'soon']","['may', 'must', 'lot', 'work', 'sure', 'many', 'brave', 'men', 'need', 'wisdom', 'soon']", may must lot work sure many brave men need wisdom soon,"{'neg': 0.0, 'neu': 0.468, 'pos': 0.532, 'compound': 0.8442}",0.8442,0.0004211191240722219,0.00027694396798170383,0.0010512919825153547,0.0007494091197325185
4365,4/22/2012,Season 2,Episode 4,Garden of Bones,robb stark,I have no hatred for the lad.,House Stark, i have no hatred for the lad,7,"['i', 'have', 'no', 'hatred', 'for', 'the', 'lad']","['hatred', 'lad']","['hatred', 'lad']", hatred lad,"{'neg': 0.808, 'neu': 0.192, 'pos': 0.0, 'compound': -0.6369}",-0.6369,0.0,0.0,0.0,0.0
4165,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,tyrion lannister,Theon's father loathes the Starks and will convince the boy to come to our side. Greyjoy can destroy the Northern army from within and we can have his father's ships.,House Lannister, theons father loathes the starks and will convince the boy to come to our side greyjoy can destroy the northern army from within and we can have his fathers ships,30,"['theons', 'father', 'loathes', 'the', 'starks', 'and', 'will', 'convince', 'the', 'boy', 'to', 'come', 'to', 'our', 'side', 'greyjoy', 'can', 'destroy', 'the', 'northern', 'army', 'from', 'within', 'and', 'we', 'can', 'have', 'his', 'fathers', 'ships']","['theons', 'father', 'loathes', 'starks', 'convince', 'boy', 'come', 'side', 'greyjoy', 'destroy', 'northern', 'army', 'within', 'fathers', 'ships']","['theons', 'father', 'loathes', 'starks', 'convince', 'boy', 'come', 'side', 'greyjoy', 'destroy', 'northern', 'army', 'within', 'father', 'ship']", theons father loathes starks convince boy come side greyjoy destroy northern army within father ship,"{'neg': 0.314, 'neu': 0.588, 'pos': 0.098, 'compound': -0.6597}",-0.6597,0.0007874927620150549,0.000930293501048218,0.0006086427267194156,0.0006341154090044388
5180,5/6/2012,Season 2,Episode 6,The Old Gods and the New,bran stark,"Please, stop this. Please stop him.",House Stark, please stop this please stop him,6,"['please', 'stop', 'this', 'please', 'stop', 'him']","['please', 'stop', 'please', 'stop']","['please', 'stop', 'please', 'stop']", please stop please stop,"{'neg': 0.489, 'neu': 0.0, 'pos': 0.511, 'compound': 0.0516}",0.0516,0.0,0.0015231918238993712,0.001825928180158247,0.0
